date,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,symbol,interval,tx_count,price_usd,fee_total_btc,supply_btc,hash_rate_x,active_addresses,difficulty,hash_rate_y,blk_size_mean,miners_revenue_usd,tx_count_day,market_cap_usd,tx_volume_usd,nvt
2020-10-01,10773.0,10935.14,10442.0,10612.63,253619.622,2711075914.6154,794540,130468.053,1395487100.6098,BTCUSDT,1d,304377.0,10606.6173325541,104.92605554,18505198.37650371,119056960.428763,922880.0,,,,,,199451696368.75,,
2020-10-02,10612.62,10660.0,10371.03,10565.15,224747.037,2359977989.11924,764820,113926.065,1196694184.88022,BTCUSDT,1d,315938.0,10570.1056777908,121.31761787,18506048.37649825,130578601.76057877,996361.0,19314656404097.0,130578601.76057878,302587.001907,10232863.851096012,315443.0,195033745968.75,2283910067.2491984,85.39466976633358
2020-10-03,10565.44,10596.0,10491.11,10537.96,76315.911,804408980.87426,434460,40622.782,428207977.98654,BTCUSDT,1d,303899.0,10555.7054339567,69.1389914,18506992.12649825,144980653.4253485,1002444.0,19314656404097.0,144980653.4253485,302762.792556,10855303.17414383,310855.0,194913683425.0,846455550.5192969,230.27042980038502
2020-10-04,10537.96,10694.0,10514.0,10660.16,90912.105,964435994.41114,492034,50394.855,534651963.58343,BTCUSDT,1d,274508.0,10665.618622443,57.06685152,18507979.62649825,151587945.74942547,923546.0,19300708897945.598,151592064.050859,302962.665995,11055916.218426451,268019.0,196053257812.5,634742572.527444,308.87050325275504
2020-10-05,10660.16,10792.0,10608.9,10785.0,130589.137,1397359152.98443,593867,70197.411,751308813.67803,BTCUSDT,1d,295868.0,10772.6355995909,100.04754586,18508854.62649825,134303836.4311297,946902.0,19298087186263.0,134303836.4311328,303155.397375,10710768.428353488,294986.0,198459401718.75003,1343799081.1799047,147.68532327354728
2020-10-06,10784.99,10792.0,10510.66,10593.65,184895.25,1971152604.95732,699471,90311.669,962975799.00648,BTCUSDT,1d,318289.0,10596.3735493863,114.46013121,18509667.12649825,124710705.2574776,978521.0,19298087186263.0,124710705.25748046,303323.242392,10054284.607074086,317922.0,198144532031.25,1385299160.190378,143.0337487564921
2020-10-07,10593.65,10675.0,10540.29,10658.75,106700.522,1132125130.95176,502888,55471.502,588657572.25471,BTCUSDT,1d,369576.0,10667.1943941555,108.33383901,18510610.87649825,144856280.72214702,1063425.0,19298087186263.0,144856280.7221504,303492.339975,11193916.28524024,370554.0,196580912625.00003,1847973952.4246747,106.37645209613032
2020-10-08,10658.75,10958.0,10523.0,10919.45,207938.861,2236764143.48042,754390,110601.014,1190141239.19826,BTCUSDT,1d,329472.0,10902.5293637054,103.39374193,18511623.37649825,155408725.0131643,1033122.0,19298087186263.0,155408725.01316798,303685.583647,12084850.912867788,330227.0,198637114225.0,1564119346.8517392,126.9961365958531
2020-10-09,10919.45,11110.0,10818.44,11050.47,154336.818,1697348173.83417,640685,79025.665,869063867.98832,BTCUSDT,1d,339374.0,11074.1036797779,110.16141041,18512509.88549825,136222462.66586015,1006667.0,19298087186263.0,136222462.66586328,303883.713632,10965183.362031735,339343.0,204903807618.75,2052602359.6675017,99.8263529483334
2020-10-10,11050.46,11494.0,11050.46,11294.79,199398.012,2259937270.69761,731572,98369.054,1114371848.52463,BTCUSDT,1d,294652.0,11302.8542864407,75.12837831,18513403.11999825,137181775.7832253,917402.0,19298087186263.0,137181775.78322852,304070.206403,11127194.8560519,298486.0,210736253606.25003,1149403530.058942,183.34401112848798
